"","Blongum_20_1_S82_aligned.bam","Blongum_20_2_S83_aligned.bam","Blongum_20_3_S84_aligned.bam","Blongum_20_4_S85_aligned.bam","Blongum_20_5_S86_aligned.bam","Blongum_200_1_S87_aligned.bam","Blongum_200_2_S88_aligned.bam","Blongum_200_3_S89_aligned.bam","Blongum_200_4_S90_aligned.bam","Blongum_200_5_S91_aligned.bam","Blongum_Veh_1_S77_aligned.bam","Blongum_Veh_2_S78_aligned.bam","Blongum_Veh_3_S79_aligned.bam","Blongum_Veh_4_S80_aligned.bam","Blongum_Veh_5_S81_aligned.bam"
"BLLJ_RS00465",297,398,567,645,360,253,162,136,228,383,715,894,543,638,714
"BLLJ_RS00470",726,978,1487,1518,953,695,419,254,485,779,969,1218,724,976,771
"BLLJ_RS00475",34,37,51,77,23,59,37,12,40,40,45,54,37,50,31
"BLLJ_RS00480",171,306,403,421,224,314,232,107,189,317,177,249,149,219,222
"BLLJ_RS00485",1342,1916,2592,2137,1206,3206,2359,1484,2907,3176,1304,1643,965,1321,1326
"BLLJ_RS00495",290,383,524,487,294,380,222,130,314,354,275,419,315,317,255
"BLLJ_RS00500",630,956,1308,1352,751,1089,752,432,873,1511,732,1061,704,778,670
"BLLJ_RS00505",61,93,106,115,76,91,65,22,33,97,69,70,36,52,64
"BLLJ_RS10825",155,214,297,358,211,330,185,130,194,381,212,289,182,207,221
"BLLJ_RS11075",71,66,75,82,41,104,58,37,61,141,86,89,40,57,64
"BLLJ_RS00520",151,175,261,299,199,294,198,116,242,329,216,346,189,232,216
"BLLJ_RS00525",22,47,47,59,48,27,15,13,18,39,23,38,27,26,22
"BLLJ_RS00530",21,13,27,31,22,6,8,3,11,8,11,21,10,9,7
"BLLJ_RS00535",452,605,843,867,580,511,369,232,377,615,510,744,484,639,460
"BLLJ_RS00540",179,283,340,406,222,168,139,54,127,216,177,276,175,248,165
"BLLJ_RS00545",71,145,153,188,87,72,56,25,53,82,70,94,65,84,76
"BLLJ_RS00550",589,933,1093,1235,634,554,422,320,796,1299,751,1008,633,936,770
"BLLJ_RS00555",323,411,649,518,340,197,154,121,168,362,317,350,229,302,231
"BLLJ_RS00560",156,231,322,336,191,200,133,98,231,357,190,239,160,235,222
"BLLJ_RS00565",134,208,258,252,182,145,126,70,143,159,157,209,130,144,134
"BLLJ_RS00570",268,397,476,531,304,239,177,100,201,513,186,211,181,223,200
"BLLJ_RS00575",1162,1854,2653,2435,1167,1055,814,560,828,2366,1224,1577,1033,1251,1384
"BLLJ_RS00580",102,168,186,231,131,74,55,33,77,103,80,120,59,107,74
"BLLJ_RS00585",253,345,426,439,244,409,247,168,330,512,309,411,247,304,236
"BLLJ_RS00590",458,718,1069,971,536,472,365,228,414,661,562,697,425,586,501
"BLLJ_RS00595",7,9,9,20,3,5,2,3,5,4,1,8,7,2,3
"BLLJ_RS00600",17,26,34,39,16,30,10,9,13,22,19,31,16,21,19
"BLLJ_RS00605",170,189,258,242,193,202,169,96,179,359,140,194,122,148,130
"BLLJ_RS00610",39,55,96,103,48,39,26,9,45,50,62,69,36,45,38
"BLLJ_RS00615",217,295,431,443,279,225,124,100,198,341,189,260,182,208,176
"BLLJ_RS00620",13,24,20,25,21,15,9,2,22,23,19,15,17,28,11
"BLLJ_RS00625",1327,2106,2587,2736,1370,4461,3990,1284,2161,2882,1602,1831,1399,1765,1295
"BLLJ_RS00630",464,697,959,978,578,1376,1213,412,699,840,491,601,402,576,429
"BLLJ_RS00635",392,749,798,899,400,951,891,275,544,684,306,396,351,473,270
"BLLJ_RS00640",175,269,345,345,207,329,345,100,206,267,151,156,127,189,136
"BLLJ_RS00645",165,204,263,242,170,253,144,74,145,229,178,215,186,183,156
"BLLJ_RS00650",470,664,774,957,514,1347,802,550,1258,1486,642,1100,659,842,706
"BLLJ_RS00655",162,202,206,263,158,377,219,132,208,329,178,285,160,167,173
"BLLJ_RS00660",93,145,188,195,99,258,150,92,151,268,136,200,113,141,116
"BLLJ_RS00665",240,300,383,394,225,467,235,135,275,383,342,482,268,347,271
"BLLJ_RS00670",184,285,369,266,169,225,111,58,132,165,232,286,158,201,160
"BLLJ_RS00675",17,34,26,37,23,27,6,3,11,26,24,27,19,34,31
"BLLJ_RS00680",9,15,18,26,11,15,5,4,9,19,23,25,6,11,11
"BLLJ_RS00685",4,14,14,16,6,6,2,2,5,7,3,7,4,7,6
"BLLJ_RS00690",21,19,31,36,15,29,14,7,13,31,22,41,18,25,22
"BLLJ_RS00695",14,13,36,26,20,22,17,11,24,15,15,22,15,20,6
"BLLJ_RS00700",21,24,40,29,19,14,8,6,14,18,28,22,28,22,8
"BLLJ_RS00705",17,23,21,43,14,24,13,10,16,24,11,29,16,28,12
"BLLJ_RS00710",143,179,261,280,154,321,209,105,191,274,195,327,170,183,213
"BLLJ_RS00715",194,391,415,503,206,898,621,572,970,1311,374,698,461,441,423
"BLLJ_RS00720",413,664,929,945,564,905,558,478,846,1293,625,869,551,675,626
"BLLJ_RS00725",110,114,159,157,111,143,86,65,109,181,100,167,98,87,109
"BLLJ_RS00730",278,388,465,587,269,705,449,247,470,664,357,578,331,371,384
"BLLJ_RS11080",16,15,19,20,9,26,21,4,10,19,12,29,14,18,17
"BLLJ_RS00735",73,112,115,135,73,124,79,47,112,111,72,161,94,92,99
"BLLJ_RS00740",415,595,829,801,418,367,201,116,233,433,424,547,383,405,365
"BLLJ_RS00745",76,125,175,147,62,65,39,14,36,56,76,110,77,112,63
"BLLJ_RS00750",474,807,850,1060,544,461,324,166,327,532,471,808,580,691,463
"BLLJ_RS00755",82,131,190,192,95,174,132,72,132,238,107,146,101,103,146
"BLLJ_RS11235",6,15,21,23,7,17,18,3,14,20,15,23,10,12,12
"BLLJ_RS00760",264,366,524,473,289,599,376,263,489,823,356,438,254,312,312
"BLLJ_RS10835",14,14,13,18,10,22,22,6,5,16,15,14,21,20,18
"BLLJ_RS00765",1969,3015,4082,3806,2732,2719,1857,1543,2577,5294,2830,3163,2180,2857,2935
"BLLJ_RS00770",594,930,1144,1041,490,1115,734,388,740,858,868,990,691,776,659
"BLLJ_RS00780",426,525,758,710,486,787,532,386,560,993,548,633,381,461,450
"BLLJ_RS00785",872,1207,1725,1834,975,1512,1087,602,1163,1800,1004,1381,768,1102,976
"BLLJ_RS00790",81,94,186,169,89,148,95,48,110,166,124,153,99,77,104
"BLLJ_RS00795",81,138,207,166,114,113,93,51,82,178,156,124,83,89,88
"BLLJ_RS00800",252,319,383,394,241,197,159,83,161,222,221,265,175,226,182
"BLLJ_RS00805",229,316,349,347,231,181,143,53,183,199,185,263,161,295,207
"BLLJ_RS00810",357,527,769,693,405,420,333,130,257,468,453,510,266,438,376
"BLLJ_RS00815",528,971,1323,1246,627,1151,846,438,1209,1357,860,1224,704,991,905
"BLLJ_RS00820",448,634,773,878,349,712,405,245,470,613,505,715,486,571,444
"BLLJ_RS00825",2145,2767,3457,3950,2194,2090,1284,1056,1805,2717,1933,2673,2273,2176,1659
"BLLJ_RS00830",210,357,493,490,318,479,317,174,403,739,275,443,243,323,298
"BLLJ_RS00835",286,407,496,584,375,714,496,277,409,625,399,543,317,428,368
"BLLJ_RS00840",198,229,322,306,189,321,195,93,175,225,229,312,189,247,216
"BLLJ_RS00845",641,1290,1638,1369,724,1099,852,587,1011,1913,818,1029,668,953,787
"BLLJ_RS00850",555,806,1119,1149,664,751,511,262,527,969,648,822,569,687,559
"BLLJ_RS11085",271,385,433,503,218,256,164,99,211,291,264,421,251,241,220
"BLLJ_RS00875",14604,16163,26274,18358,14017,14048,8507,8705,12077,27180,14004,12631,8032,8606,11700
"BLLJ_RS11240",12,21,18,28,11,16,7,11,11,19,19,10,9,9,12
"BLLJ_RS00880",39,58,70,51,29,20,15,5,20,21,31,41,32,27,25
"BLLJ_RS00885",363,531,709,758,518,285,182,118,205,332,348,589,338,425,344
"BLLJ_RS00895",209,332,391,485,264,493,309,240,448,607,279,463,297,276,264
"BLLJ_RS00900",79,103,150,127,46,73,35,14,43,79,83,94,56,58,63
"BLLJ_RS00905",162,199,287,267,125,149,104,51,114,144,178,243,145,217,150
"BLLJ_RS00910",148,162,242,283,157,101,80,35,59,151,167,165,137,142,89
"BLLJ_RS00920",50,74,81,110,50,40,35,15,29,57,68,61,50,37,45
"BLLJ_RS00925",44,48,73,73,27,34,26,15,22,57,34,42,54,47,51
"BLLJ_RS00930",173,272,290,374,211,185,120,89,178,293,153,252,160,214,134
"BLLJ_RS00935",98,121,154,175,100,74,50,44,77,146,97,107,66,98,83
"BLLJ_RS00940",105,147,180,208,109,99,67,53,121,195,112,157,97,102,105
"BLLJ_RS00945",68,76,67,70,48,47,21,12,42,73,46,62,21,54,26
