"","Blongum_20_1_S82_aligned.bam","Blongum_20_2_S83_aligned.bam","Blongum_20_3_S84_aligned.bam","Blongum_20_4_S85_aligned.bam","Blongum_20_5_S86_aligned.bam","Blongum_200_1_S87_aligned.bam","Blongum_200_2_S88_aligned.bam","Blongum_200_3_S89_aligned.bam","Blongum_200_4_S90_aligned.bam","Blongum_200_5_S91_aligned.bam","Blongum_Veh_1_S77_aligned.bam","Blongum_Veh_2_S78_aligned.bam","Blongum_Veh_3_S79_aligned.bam","Blongum_Veh_4_S80_aligned.bam","Blongum_Veh_5_S81_aligned.bam"
"BLLJ_RS01575",141,203,244,290,132,142,103,53,96,173,107,171,103,149,101
"BLLJ_RS01580",229,421,527,516,272,201,191,79,118,291,188,194,193,221,181
"BLLJ_RS01585",2800,3777,4456,5357,2749,2691,2351,1519,2050,2304,2183,3093,2231,2730,2498
"BLLJ_RS01590",6111,10052,11508,11887,5851,7024,5140,2551,5313,5618,5102,7044,4246,6337,4759
"BLLJ_RS01595",165,264,336,353,162,453,320,167,261,489,256,361,230,276,248
"BLLJ_RS01600",508,670,956,1047,636,596,515,267,476,850,554,748,475,550,442
"BLLJ_RS01605",190,252,327,326,179,298,195,102,165,223,207,281,142,206,166
"BLLJ_RS01610",298,453,506,632,289,351,281,140,339,466,297,410,295,431,306
"BLLJ_RS01615",430,488,713,691,338,545,338,177,326,474,430,575,342,465,347
"BLLJ_RS01620",282,350,471,499,267,359,244,107,227,376,296,353,287,273,199
"BLLJ_RS01625",33,42,54,43,32,173,95,50,114,111,39,42,23,48,48
"BLLJ_RS01630",12,28,26,30,10,128,71,44,63,78,26,47,18,41,33
"BLLJ_RS01635",158,218,308,317,160,217,146,81,146,313,203,312,160,192,174
"BLLJ_RS01640",342,600,723,714,433,431,320,191,368,732,380,557,339,474,407
"BLLJ_RS01645",144,221,318,290,179,196,117,54,143,186,145,200,147,204,116
"BLLJ_RS01650",3226,4773,6119,6586,3669,4407,3331,1362,3399,3805,3852,5951,3230,4754,3685
"BLLJ_RS01655",237,342,486,532,307,502,303,188,319,604,319,409,272,314,284
"BLLJ_RS01660",865,1331,2031,1701,1032,1387,954,732,1570,2652,958,1151,698,901,901
"BLLJ_RS01665",259,383,521,499,244,459,322,265,360,570,249,398,220,296,289
"BLLJ_RS01670",411,487,722,657,435,701,451,273,607,863,434,623,430,439,351
"BLLJ_RS01675",475,712,1011,963,557,886,570,401,624,1187,639,834,497,643,677
"BLLJ_RS01680",65,61,85,106,30,111,70,34,59,85,59,92,59,78,84
"BLLJ_RS01685",182,182,274,256,146,287,152,140,184,282,167,242,157,163,109
"BLLJ_RS01690",335,492,724,713,447,765,555,390,630,1297,447,614,439,441,482
"BLLJ_RS01695",406,669,964,871,487,747,519,397,688,1261,473,698,452,512,523
"BLLJ_RS01700",231,312,429,356,233,260,197,143,231,541,232,247,186,231,242
"BLLJ_RS01710",535,766,1046,1080,526,1379,822,393,762,934,676,979,588,719,546
"BLLJ_RS01715",210,304,390,353,204,602,394,183,305,580,236,406,215,278,279
"BLLJ_RS01720",195,235,287,282,160,493,308,150,252,475,220,335,214,182,242
"BLLJ_RS01725",244,348,465,473,298,457,277,164,303,499,313,447,338,337,299
"BLLJ_RS01740",1360,2033,2716,2720,1693,1865,1394,857,1312,2993,1624,1793,1316,1576,1693
"BLLJ_RS01745",2408,3601,4652,4658,2352,2282,1884,748,1409,2050,2101,2957,2689,2341,1945
"BLLJ_RS01750",346,465,634,772,424,694,457,186,387,533,303,349,256,332,260
"BLLJ_RS01755",30,35,56,64,38,63,48,11,29,44,48,64,26,32,32
"BLLJ_RS01760",268,463,544,553,382,475,334,242,479,776,358,495,272,381,377
"BLLJ_RS01765",1067,1738,2045,2271,1135,1295,832,546,1230,2089,1184,1574,951,1427,1259
"BLLJ_RS01770",252,397,497,422,338,289,202,196,326,606,392,425,287,349,357
"BLLJ_RS01775",549,810,1295,998,673,732,486,441,739,1378,1074,1205,662,819,1007
"BLLJ_RS01780",66,85,95,94,64,68,49,26,38,50,59,91,54,58,47
"BLLJ_RS11095",890,1352,1605,1794,942,679,497,252,579,916,857,1123,841,917,743
"BLLJ_RS01790",591,752,1026,1048,508,433,305,137,235,410,920,1171,703,898,844
"BLLJ_RS01795",240,341,475,446,267,170,144,61,98,188,389,374,261,349,271
"BLLJ_RS01800",235,305,387,340,228,144,133,63,62,172,223,284,189,230,236
"BLLJ_RS01805",654,960,1200,1386,708,840,614,313,573,921,703,972,566,807,661
"BLLJ_RS11365",275,370,462,552,331,227,117,64,183,289,347,507,328,323,254
"BLLJ_RS01815",459,658,844,851,551,352,252,172,283,604,501,610,478,472,392
"BLLJ_RS01820",248,371,498,508,298,278,167,101,166,263,289,373,255,255,201
"BLLJ_RS01825",267,346,445,587,293,358,217,112,236,384,316,410,270,337,271
"BLLJ_RS01830",1198,1514,1942,2024,1231,2188,1344,1011,1583,2136,1198,1658,1103,1102,1008
"BLLJ_RS01835",162,245,243,301,166,96,95,47,99,176,143,170,107,153,116
"BLLJ_RS01840",573,824,935,1055,593,987,540,377,624,1277,632,836,462,685,682
"BLLJ_RS11370",65,113,117,144,79,76,50,37,48,63,75,94,80,85,73
"BLLJ_RS01855",495,773,1131,1070,535,820,633,462,745,1677,487,651,433,538,551
"BLLJ_RS01860",131,223,237,228,110,234,133,93,141,242,123,175,119,129,135
"BLLJ_RS01865",181,273,356,350,186,450,236,150,323,471,271,503,270,334,364
"BLLJ_RS01870",180,229,342,319,202,204,123,92,151,319,212,289,205,217,188
"BLLJ_RS01875",506,676,863,916,563,781,452,257,554,746,521,686,382,597,438
"BLLJ_RS01880",142,212,241,270,166,128,73,48,102,186,122,160,112,168,144
"BLLJ_RS01885",91,143,158,163,112,161,101,55,127,173,166,153,108,101,101
"BLLJ_RS01890",55,49,48,94,28,54,46,27,33,52,50,63,42,49,24
"BLLJ_RS01895",1999,2681,3335,3297,2028,4973,3187,1752,3806,4822,2294,3398,1822,2316,1806
"BLLJ_RS01900",572,856,962,1050,467,1773,1132,625,1235,1419,684,1006,595,668,667
"BLLJ_RS01905",973,1286,1714,1644,800,2682,1741,1177,1990,2517,1196,1732,926,1039,1078
"BLLJ_RS01910",515,595,902,799,361,1265,826,463,741,1391,708,1168,542,605,702
"BLLJ_RS10250",422,525,751,561,236,1240,819,331,558,1008,582,803,373,416,530
"BLLJ_RS01915",646,848,1428,926,352,2373,1591,807,1184,2125,982,1721,796,877,1489
"BLLJ_RS01920",303,272,516,357,189,834,548,232,336,649,299,490,237,251,371
"BLLJ_RS01925",132,187,287,188,88,408,264,109,156,256,199,311,141,170,224
"BLLJ_RS01930",193,245,385,242,86,454,326,147,242,365,282,414,185,215,297
"BLLJ_RS01935",91,161,243,169,98,403,332,126,192,346,275,466,221,187,378
"BLLJ_RS01940",687,960,1315,1243,620,1898,1137,718,1072,1817,1371,2324,1250,1159,1463
"BLLJ_RS01945",180,264,350,350,213,470,285,142,340,345,271,471,258,265,251
"BLLJ_RS11025",7,4,11,3,1,6,2,1,5,4,8,8,10,5,5
"BLLJ_RS01950",1057,1508,1729,1893,1008,1701,1148,824,1686,1920,1229,1927,1239,1482,1116
"BLLJ_RS01955",64,99,160,126,75,122,60,29,107,97,85,102,72,58,63
"BLLJ_RS01960",1703,2523,3423,3464,1716,1907,1177,865,1593,3149,2043,3080,2020,2095,1882
"BLLJ_RS01965",32,39,51,54,22,50,22,15,43,32,60,59,28,55,29
"BLLJ_RS01970",84,145,155,153,70,147,90,53,124,131,130,200,102,144,133
"BLLJ_RS01975",540,774,895,912,422,2307,1487,652,1346,1673,706,941,535,727,607
"BLLJ_RS01980",187,233,356,314,149,1062,853,324,719,980,178,199,129,210,199
"BLLJ_RS01985",215,327,453,460,261,552,465,275,476,693,179,309,199,267,220
"BLLJ_RS01990",45,58,101,85,37,161,132,61,98,164,46,68,34,39,41
"BLLJ_RS01995",68,108,133,129,78,194,188,63,147,252,77,113,58,93,71
"BLLJ_RS02000",245,320,475,493,305,543,386,230,274,493,291,472,243,299,283
"BLLJ_RS02005",515,749,1030,1066,566,784,583,355,730,1127,612,841,530,640,626
"BLLJ_RS02010",405,550,740,713,447,981,682,425,771,1126,564,786,468,538,622
"BLLJ_RS02015",340,472,750,650,445,663,461,408,573,1149,420,519,315,443,431
"BLLJ_RS02020",179,264,284,329,188,498,262,171,369,374,286,372,217,270,244
"BLLJ_RS02025",1081,1607,2143,2373,1352,3620,2152,957,2278,2963,1591,2492,1308,1583,1320
"BLLJ_RS02030",2030,2980,3633,3825,1840,3396,2252,1260,2402,3325,2541,3542,2296,2536,1956
"BLLJ_RS02035",294,523,719,741,378,483,374,181,384,583,405,613,368,489,447
"BLLJ_RS02040",843,1217,1488,1297,770,1507,1156,1023,1826,2421,647,728,509,577,539
"BLLJ_RS02045",870,1059,1206,1187,625,621,483,392,504,888,527,599,509,487,317
"BLLJ_RS02050",470,541,552,568,526,306,198,148,315,558,346,345,243,456,279
"BLLJ_RS02055",668,916,1217,1218,753,545,422,289,419,873,577,699,449,629,461
"BLLJ_RS02060",440,620,720,939,419,503,368,151,324,424,436,650,399,579,415
"BLLJ_RS02065",355,571,744,721,395,484,308,146,287,500,426,481,336,469,369
"BLLJ_RS02070",135,244,274,346,141,258,182,72,190,223,159,210,153,226,155
"BLLJ_RS02075",54,79,122,122,87,295,207,105,166,268,67,105,60,83,94
"BLLJ_RS02080",332,379,526,520,350,623,389,211,400,527,412,510,241,409,293
"BLLJ_RS02085",2325,2981,3588,3770,2286,2327,1842,796,1669,2490,2508,2956,2033,2699,1954
"BLLJ_RS02090",1553,2324,2978,3129,1686,1639,1312,617,985,1960,1723,1900,1430,1750,1456
"BLLJ_RS02095",290,422,708,545,321,493,335,274,579,1127,404,464,272,385,645
"BLLJ_RS02100",136,229,355,307,200,286,186,144,304,562,247,230,151,205,340
"BLLJ_RS02105",383,472,691,764,446,620,378,218,422,659,435,556,361,425,361
"BLLJ_RS02110",387,465,697,530,376,434,284,189,313,593,411,548,302,368,434
"BLLJ_RS02115",171,241,301,260,206,145,116,83,146,287,201,226,126,144,180
"BLLJ_RS02120",258,430,517,479,238,299,189,121,239,571,382,427,228,343,361
"BLLJ_RS02125",951,1316,1660,1773,973,1082,677,397,835,1306,1104,1457,912,1078,1013
"BLLJ_RS02130",817,1156,1475,1693,986,1028,654,425,900,1597,1106,1588,900,1194,1035
"BLLJ_RS02135",1079,1391,1920,1963,1161,1495,978,774,1293,2129,1241,1548,1016,1169,1141
"BLLJ_RS02140",1434,1738,2347,2292,1299,1935,1251,1131,1935,2907,1532,1985,1275,1431,1322
"BLLJ_RS02145",539,836,1067,1069,606,629,377,232,418,806,497,641,462,563,448
"BLLJ_RS02150",196,374,474,516,334,462,281,174,303,582,268,372,201,315,203
"BLLJ_RS02155",316,471,630,605,278,520,344,185,368,692,355,416,266,356,343
"BLLJ_RS02160",367,562,675,676,357,531,423,156,345,651,471,538,319,427,394
"BLLJ_RS02165",546,794,1108,1094,607,739,655,272,600,1081,628,765,464,615,600
"BLLJ_RS02170",74,84,83,114,62,58,30,14,30,54,54,77,50,65,41
"BLLJ_RS02175",80,142,154,183,89,91,41,29,81,105,105,153,58,118,86
"BLLJ_RS11100",28,21,32,45,18,30,8,15,22,16,28,38,11,26,16
"BLLJ_RS02185",593,974,1379,1253,781,1226,913,697,1322,2188,721,952,634,832,752
"BLLJ_RS02190",321,495,672,611,327,744,531,374,785,1087,472,591,307,426,436
"BLLJ_RS02195",267,407,587,579,283,776,528,279,540,843,304,415,258,299,303
"BLLJ_RS02200",329,534,696,678,328,689,460,189,402,652,343,411,219,335,304
"BLLJ_RS02205",150,222,264,278,192,220,214,54,121,231,177,159,102,139,97
"BLLJ_RS02210",175,173,281,276,115,449,340,107,196,325,188,251,142,204,200
"BLLJ_RS02215",1926,2644,3437,3097,1831,2461,1823,953,1701,2689,1783,2048,1263,1745,1434
"BLLJ_RS02220",1744,2538,3117,3368,1728,4403,3268,1951,5298,4436,1688,2413,1405,1951,1666
"BLLJ_RS02225",765,1197,1441,1496,941,1242,822,616,1241,1871,707,910,592,712,601
"BLLJ_RS02230",901,1433,1868,1922,1068,1018,619,373,895,1246,1121,1465,1045,1343,1028
"BLLJ_RS02235",358,506,743,736,356,621,444,251,435,785,527,615,406,455,414
"BLLJ_RS02240",368,453,657,602,388,434,328,200,351,631,472,500,336,416,363
"BLLJ_RS02245",749,1135,1731,1491,944,2142,1372,952,1587,2835,1098,1398,872,1113,1062
"BLLJ_RS02250",221,256,341,387,230,256,167,109,141,255,210,267,159,191,145
"BLLJ_RS10075",16,28,32,32,26,16,10,5,15,25,34,25,15,18,18
"BLLJ_RS02255",850,1297,1637,1600,852,1217,792,616,1030,1501,954,1230,878,846,761
"BLLJ_RS02260",1153,1459,1759,1672,1177,3467,2126,1578,2413,3762,1196,1632,971,1183,1007
"BLLJ_RS02265",807,1125,1590,1473,1026,1442,1200,873,1205,2360,703,762,560,672,665
"BLLJ_RS02270",1315,1985,2506,2460,1529,2160,1664,1331,2111,3347,1251,1581,1175,1362,1092
"BLLJ_RS02275",196,271,433,353,217,427,251,138,267,432,177,277,170,210,193
"BLLJ_RS02280",50,68,89,111,52,46,37,35,75,92,52,60,46,58,62
"BLLJ_RS02285",1156,1653,1879,2163,1138,1155,687,849,1488,2838,1064,1105,811,1212,940
"BLLJ_RS02290",8156,10726,12718,14736,7744,9271,5914,6242,11287,17465,6985,8291,6247,7851,5826
"BLLJ_RS02295",328,451,608,482,365,626,412,266,526,736,334,556,307,352,326
"BLLJ_RS02300",66,124,143,153,67,196,122,57,101,150,128,200,83,133,132
"BLLJ_RS02305",581,967,1168,1381,655,497,324,245,495,645,566,780,526,545,430
"BLLJ_RS02310",91,154,230,210,128,224,132,106,170,242,129,145,96,142,110
"BLLJ_RS02315",38,69,62,67,39,83,69,30,64,84,51,65,29,57,57
"BLLJ_RS02320",91,137,170,152,83,112,74,48,97,111,83,127,69,112,100
"BLLJ_RS02325",65,102,123,103,69,65,59,22,61,92,70,61,51,56,60
"BLLJ_RS02330",254,394,443,478,238,129,84,44,130,172,215,251,161,248,167
"BLLJ_RS02335",170,224,202,272,143,61,54,25,66,87,141,157,91,126,90
"BLLJ_RS02340",674,972,1209,1181,528,1280,848,465,859,1015,814,1178,739,778,761
"BLLJ_RS02345",292,414,531,542,362,656,454,337,558,809,358,401,267,333,301
"BLLJ_RS02350",502,936,1074,1243,494,7483,5141,1983,5453,5203,683,1275,665,846,871
"BLLJ_RS02355",112,147,164,212,109,160,126,34,106,133,123,146,87,119,102
"BLLJ_RS02360",138,188,220,259,158,105,67,50,76,125,96,134,81,134,113
"BLLJ_RS02365",142,227,278,289,159,119,94,58,137,179,131,161,109,140,120
"BLLJ_RS10880",49,67,57,75,49,43,24,16,32,43,22,47,45,39,29
"BLLJ_RS02370",294,426,548,517,284,190,97,67,133,236,274,326,232,270,238
"BLLJ_RS02375",113,149,176,191,130,115,91,37,99,120,70,103,53,94,66
"BLLJ_RS02380",120,154,263,223,165,196,146,98,157,266,132,182,128,145,112
"BLLJ_RS02385",746,1036,1392,1422,730,1221,841,596,1127,1524,814,1032,591,808,699
"BLLJ_RS02390",339,501,507,656,310,141,98,61,90,206,204,261,190,258,169
"BLLJ_RS02395",183,311,259,377,170,86,62,41,80,125,156,205,127,191,128
"BLLJ_RS02400",303,393,492,586,268,395,291,137,276,372,286,399,279,304,255
"BLLJ_RS02405",143,216,212,236,172,124,95,59,110,201,124,144,138,127,105
"BLLJ_RS02410",1218,1661,1978,2410,1388,1245,815,510,987,1601,1005,1507,1082,1245,949
"BLLJ_RS02415",1376,2214,2575,3334,1427,1444,1162,556,1265,1421,1307,2018,1481,1609,1436
"BLLJ_RS02420",710,922,1245,1223,739,864,465,388,675,1013,727,1021,635,676,595
"BLLJ_RS02425",48,91,103,125,56,62,29,17,48,72,70,118,73,63,66
"BLLJ_RS02430",261,379,529,527,274,318,193,107,249,370,264,428,260,311,212
"BLLJ_RS02440",686,944,1336,1335,692,1058,690,362,640,1309,751,819,585,791,718
"BLLJ_RS02445",718,902,1384,1235,765,1347,946,485,694,1685,925,1086,649,778,942
"BLLJ_RS02450",408,626,836,733,424,938,692,328,473,908,618,884,427,597,562
"BLLJ_RS02455",337,557,693,645,392,1155,763,382,733,1206,428,651,346,441,476
"BLLJ_RS02460",167,255,279,348,213,138,127,68,91,175,140,164,114,149,111
"BLLJ_RS02465",162,287,347,299,226,253,201,130,222,403,169,233,126,183,155
"BLLJ_RS02470",330,519,700,717,411,624,446,277,514,1137,457,515,297,448,362
"BLLJ_RS02475",130,182,242,273,134,244,176,103,203,294,130,228,119,157,152
"BLLJ_RS02480",5,10,4,7,0,8,6,4,7,5,1,4,1,11,4
"BLLJ_RS02485",62,75,130,105,55,57,30,15,34,85,67,44,25,48,32
"BLLJ_RS02490",1109,1501,1870,1894,915,3437,2313,1312,2426,3289,1244,1773,1099,1289,1180
"BLLJ_RS02495",179,275,385,350,233,602,470,191,274,479,226,362,192,240,210
"BLLJ_RS02500",425,656,834,834,474,551,458,132,304,720,544,786,462,665,619
"BLLJ_RS02505",167,241,312,297,167,192,121,46,115,210,197,225,174,220,207
"BLLJ_RS02510",423,596,768,692,430,435,355,154,330,484,555,748,445,588,515
"BLLJ_RS02515",329,471,632,629,243,1015,705,315,652,811,492,662,337,428,520
"BLLJ_RS02520",486,755,1112,1041,476,1530,941,549,936,1787,711,983,589,704,758
"BLLJ_RS02525",750,1114,1539,1468,781,1892,1246,652,1096,1960,998,1425,802,1079,1047
"BLLJ_RS02530",228,319,461,412,267,445,287,161,309,605,306,424,276,324,341
"BLLJ_RS02535",623,822,1031,1115,607,1062,675,447,790,1207,689,981,590,776,784
"BLLJ_RS02540",913,1313,1445,1489,936,1184,772,601,1205,1608,874,1241,763,998,917
"BLLJ_RS02545",333,470,539,640,362,420,253,155,338,446,367,484,303,364,266
"BLLJ_RS02550",19,20,20,23,11,10,12,10,7,6,12,11,5,10,6
"BLLJ_RS02555",119,161,184,184,140,177,113,47,102,145,114,142,90,113,86
"BLLJ_RS02560",31,63,66,106,51,121,60,60,92,91,45,77,49,59,41
"BLLJ_RS02565",167,273,287,326,194,277,152,81,179,277,181,273,171,222,169
"BLLJ_RS02570",32,31,56,49,35,70,19,25,30,47,24,41,23,26,36
"BLLJ_RS02575",78,154,138,152,92,134,119,50,103,187,108,152,86,82,119
"BLLJ_RS02580",179,281,362,373,232,291,192,116,228,304,180,307,175,195,198
"BLLJ_RS02585",591,952,1180,1190,616,613,512,257,478,911,573,810,520,674,563
"BLLJ_RS02590",644,874,1133,1255,653,768,511,214,494,782,739,1119,715,896,686
"BLLJ_RS02595",259,415,553,581,308,635,448,261,481,763,210,278,197,269,204
"BLLJ_RS02600",222,346,419,379,228,985,591,383,546,941,213,311,222,235,221
"BLLJ_RS02605",492,728,892,985,510,450,315,145,351,557,607,802,512,651,532
"BLLJ_RS02615",90,138,172,192,111,77,66,54,80,133,99,126,83,97,97
"BLLJ_RS02620",2371,3242,3943,4648,2846,3717,2672,962,1947,2876,2967,3817,2627,3203,2530
"BLLJ_RS02625",885,1109,1331,1510,933,1167,963,289,490,799,961,955,811,966,843
"BLLJ_RS02630",6448,8571,11708,11485,7368,7239,5587,2243,3951,7628,7108,7481,5377,6995,6488
"BLLJ_RS02635",31000,46076,64024,65196,36846,53837,39448,26124,39763,95283,36714,39334,28136,38249,41546
"BLLJ_RS02640",340,451,700,680,425,908,545,373,707,1089,463,691,411,451,477
"BLLJ_RS02645",131,175,255,257,144,175,122,78,135,194,193,194,112,152,146
"BLLJ_RS02650",11269,15531,20480,21480,11767,1610,868,785,1427,4527,10691,12889,9461,11226,7149
"BLLJ_RS02655",2130,2889,3536,4266,2274,466,306,162,381,914,2625,3492,2121,2973,1939
"BLLJ_RS02660",191,237,274,310,178,51,44,22,40,71,235,260,141,235,148
"BLLJ_RS02665",227,305,413,421,261,128,90,44,120,154,267,311,206,281,191
"BLLJ_RS02670",464,664,855,898,578,622,368,349,490,984,550,778,494,589,531
"BLLJ_RS02675",44,74,64,73,44,28,24,9,26,67,47,69,54,38,35
"BLLJ_RS02680",292,382,532,624,302,534,335,202,344,546,410,684,380,422,350
"BLLJ_RS02685",4,5,10,12,1,2,0,2,0,2,2,4,2,7,2
"BLLJ_RS11245",3,4,8,4,6,3,0,1,0,1,3,5,4,2,3
"BLLJ_RS02690",66,65,88,114,61,72,56,24,67,78,76,89,48,95,62
"BLLJ_RS02695",175,219,248,270,152,187,160,86,126,198,142,196,117,154,145
"BLLJ_RS02700",82,142,171,216,104,243,187,154,231,336,102,162,98,115,75
"BLLJ_RS02705",9,20,14,23,23,34,28,17,27,29,17,20,20,18,19
"BLLJ_RS11250",7,8,26,7,9,8,7,4,10,5,7,14,10,7,10
"BLLJ_RS02715",294,382,535,550,334,581,398,325,490,693,422,537,286,331,379
"BLLJ_RS02720",49,68,111,85,57,84,44,31,42,109,62,90,44,60,66
"BLLJ_RS02725",72,89,152,122,73,80,64,28,71,90,82,102,58,94,74
"BLLJ_RS02730",26,40,32,45,22,35,27,8,17,26,26,57,24,41,22
"BLLJ_RS02735",126,163,214,220,141,148,94,40,106,130,140,221,96,140,130
"BLLJ_RS10285",36,44,58,71,28,28,8,5,17,19,20,42,36,39,23
"BLLJ_RS02750",1582,2183,2766,3077,1958,1940,1282,737,1672,2265,1733,2299,1478,1950,1664
"BLLJ_RS02755",152,260,204,275,154,146,100,58,87,159,143,209,184,153,101
"BLLJ_RS02760",63,83,111,132,34,129,79,68,82,108,89,174,74,117,111
"BLLJ_RS02765",839,1207,1604,1557,854,1732,922,753,1587,1864,1408,2598,1265,1624,1555
"BLLJ_RS02770",273,333,444,496,202,603,361,237,559,621,471,828,411,504,467
"BLLJ_RS02775",118,161,175,165,96,119,60,55,78,128,92,165,121,118,103
"BLLJ_RS02780",94,139,168,178,118,93,59,64,105,147,118,140,98,135,75
"BLLJ_RS02790",13,24,28,39,23,11,5,2,7,9,11,18,11,17,17
"BLLJ_RS02795",1855,2804,3549,3585,1824,1953,1475,458,1112,1800,2071,2172,1426,2192,1305
"BLLJ_RS02800",1309,1738,2381,2369,1256,2062,1440,657,1354,1858,1323,1937,1235,1461,1083
"BLLJ_RS02805",226,388,471,499,235,412,381,190,354,744,231,308,186,323,238
"BLLJ_RS02810",727,901,1175,1126,594,1038,677,389,628,916,740,1045,572,715,676
"BLLJ_RS02815",204,297,435,402,189,269,227,104,198,460,207,226,179,221,221
"BLLJ_RS02820",121,181,202,197,89,89,71,28,79,122,107,177,111,97,116
"BLLJ_RS02825",95,91,161,176,102,71,59,29,44,87,93,123,108,85,84
"BLLJ_RS02830",33,29,62,63,37,38,16,15,14,33,33,29,23,38,29
"BLLJ_RS02835",86,128,155,147,77,127,71,53,89,121,90,96,87,96,72
"BLLJ_RS02840",212,288,345,354,221,329,237,99,207,336,187,264,163,195,208
"BLLJ_RS02845",336,533,679,719,432,498,424,196,348,608,384,495,290,390,361
"BLLJ_RS02850",92,135,145,207,99,159,126,57,86,139,93,135,91,116,85
"BLLJ_RS02855",280,385,476,542,276,538,405,223,408,625,296,398,283,332,265
"BLLJ_RS02860",234,426,492,487,281,367,321,236,339,615,241,347,220,273,246
"BLLJ_RS02865",161,251,347,319,164,496,317,200,354,462,180,263,180,228,169
"BLLJ_RS02870",486,638,875,845,543,1007,752,490,811,1334,542,739,527,589,556
"BLLJ_RS02875",264,470,659,680,415,484,379,259,461,795,380,411,236,365,359
"BLLJ_RS02880",72,117,164,126,104,135,166,88,102,187,102,118,51,107,86
"BLLJ_RS02885",531,755,950,956,551,833,737,347,580,1119,592,673,486,624,635
"BLLJ_RS10295",2,1,2,5,3,3,10,0,2,3,2,6,3,10,3
"BLLJ_RS02890",156,189,277,287,156,108,125,35,92,182,149,185,134,144,108
"BLLJ_RS02895",38,48,63,83,30,79,52,34,60,88,70,110,69,72,77
"BLLJ_RS02900",147,264,280,288,189,270,182,92,195,340,246,339,194,261,303
"BLLJ_RS02905",58,95,104,111,56,57,40,30,47,87,68,67,57,78,60
"BLLJ_RS02910",14,46,41,57,31,27,21,17,25,34,38,37,30,53,34
"BLLJ_RS02915",294,409,466,439,264,547,341,160,299,331,273,422,280,267,207
"BLLJ_RS02920",115,79,138,139,78,131,78,34,103,102,106,148,85,91,66
"BLLJ_RS02925",637,943,1129,1300,636,823,568,331,578,761,712,886,686,784,549
"BLLJ_RS02930",309,414,543,482,317,531,448,136,312,441,289,401,230,343,291
"BLLJ_RS02935",139,209,272,324,156,226,178,41,129,169,138,183,124,147,135
"BLLJ_RS11255",25,36,31,36,22,22,27,8,17,17,21,24,23,21,15
"BLLJ_RS02940",69,96,136,147,105,76,53,20,35,72,95,107,69,59,63
"BLLJ_RS02945",55,77,91,106,57,81,40,31,53,78,87,109,54,98,64
"BLLJ_RS02950",47,73,105,107,65,144,79,36,88,133,92,111,61,79,80
"BLLJ_RS02955",271,385,469,580,297,457,324,176,340,523,283,446,301,298,248
"BLLJ_RS02960",268,413,563,638,340,358,285,196,299,438,267,397,296,341,254
"BLLJ_RS02965",193,242,367,388,231,247,191,112,191,305,189,243,131,244,144
"BLLJ_RS02970",73,115,154,122,69,110,69,27,82,133,91,136,58,85,83
"BLLJ_RS02975",142,185,253,236,151,111,82,52,103,136,150,223,110,136,106
"BLLJ_RS02980",298,427,501,451,234,295,195,130,240,367,324,429,273,306,234
"BLLJ_RS02985",56,83,119,108,66,91,55,48,61,77,86,96,64,83,77
"BLLJ_RS02990",111,132,222,196,122,127,92,54,97,122,152,187,112,128,102
"BLLJ_RS02995",227,406,488,530,211,224,145,79,200,245,208,301,221,253,169
"BLLJ_RS03005",310,402,568,466,347,248,202,113,241,410,325,340,267,306,236
"BLLJ_RS03010",36,44,56,55,46,26,23,16,16,32,23,39,15,35,26
"BLLJ_RS03015",949,1494,2046,2087,1133,1503,1134,787,1545,2757,1196,1673,1037,1406,1176
"BLLJ_RS03020",351,430,577,548,396,488,314,202,485,797,392,490,268,363,401
"BLLJ_RS03025",247,316,435,413,254,488,315,203,313,517,245,313,194,265,265
"BLLJ_RS03030",195,262,322,366,205,354,230,117,279,353,241,318,220,235,167
"BLLJ_RS03035",3957,5543,7903,6940,4297,10392,7633,4773,7626,13494,4543,5151,3277,4164,4077
"BLLJ_RS03040",28,45,72,68,29,53,29,18,48,40,30,66,22,44,37
"BLLJ_RS03045",80,142,180,186,106,123,81,34,69,139,91,140,91,109,101
"BLLJ_RS03050",392,541,645,664,432,442,350,198,335,515,360,498,291,440,318
"BLLJ_RS03055",79,140,138,149,103,152,110,70,104,157,116,161,94,112,96
"BLLJ_RS03060",3266,5343,6733,7318,3846,4396,3770,2066,3527,8332,3428,4020,3018,3804,3673
"BLLJ_RS03065",103,122,215,182,94,235,143,60,182,195,140,188,92,140,154
"BLLJ_RS03070",67,129,179,170,69,127,85,39,93,140,95,153,76,116,78
"BLLJ_RS03075",67,142,166,154,87,117,81,42,56,127,81,127,62,98,95
"BLLJ_RS11105",158,179,260,263,133,295,170,63,126,192,178,258,164,168,141
"BLLJ_RS03090",381,465,630,642,391,572,336,207,324,480,413,471,321,382,291
"BLLJ_RS03095",907,1167,1652,1518,782,4648,3309,1591,2615,4102,1114,1409,822,1005,1096
"BLLJ_RS03100",750,1194,1706,1622,915,4030,2751,1571,3277,4098,1235,1912,1056,1294,1533
"BLLJ_RS03105",577,832,1057,1034,579,1615,1017,596,1016,1495,652,914,686,634,599
"BLLJ_RS03110",65,124,163,134,98,107,53,40,71,102,114,131,99,91,81
"BLLJ_RS03115",2317,3004,3702,3948,2584,2116,1374,1163,1987,3382,2296,2839,1888,2313,1860
